Ticker,Date,Time,Open,High,Low,Close,Volume,Open Interest
BANKNIFTY,01-01-2025,09:26:59,900,900,900,900,30,5160
BANKNIFTY,01-01-2025,09:32:59,900,900,900,900,30,5190
BANKNIFTY,01-01-2025,09:42:59,900,945,900,945,30,5220
BANKNIFTY,01-01-2025,09:46:59,945,950,945,950,30,5250
BANKNIFTY,01-01-2025,09:48:59,950,959.6,950,959.6,30,5280
BANKNIFTY,01-01-2025,10:24:59,959.6,959.6,882.7,882.7,30,5310
BANKNIFTY,01-01-2025,10:51:59,882.7,882.7,820,820,30,5310
BANKNIFTY,01-01-2025,11:20:59,820,822,820,822,30,5280
BANKNIFTY,01-01-2025,12:33:59,822,822,822,822,30,5280
BANKNIFTY,01-01-2025,13:03:59,822,865,822,865,30,5280
BANKNIFTY,01-01-2025,13:41:59,865,865,839.25,839.25,30,5280
BANKNIFTY,01-01-2025,14:02:59,839.25,839.25,800,800,30,5280
BANKNIFTY,01-01-2025,14:14:59,800,800,800,800,30,5250
BANKNIFTY,01-01-2025,15:29:59,800,825,800,825,30,5220
